Year,Deaths,2012,2013,2014,2015,2016,2017
2015,"17,334"," 36,005 "," 36,511 "," 38,168 "," 40,459 "," 41,750 "," 43,400 "
2014,"16,719"," 36,005 "," 36,511 "," 38,168 "," 40,459 "," 41,750 "," 43,400 "
2013,"16,366"," 36,005 "," 36,511 "," 38,168 "," 40,459 "," 41,750 "," 43,400 "
2012,"15,676"," 36,005 "," 36,511 "," 38,168 "," 40,459 "," 41,750 "," 43,400 "
2017,"6,007"," 45,277 "," 45,770 "," 47,641 "," 48,876 "," 49,621 "," 50,709 "
2016,"5,909"," 45,277 "," 45,770 "," 47,641 "," 48,876 "," 49,621 "," 50,709 "
2015,"5,919"," 45,277 "," 45,770 "," 47,641 "," 48,876 "," 49,621 "," 50,709 "
2014,"5,623"," 45,277 "," 45,770 "," 47,641 "," 48,876 "," 49,621 "," 50,709 "
2013,"5,639"," 45,277 "," 45,770 "," 47,641 "," 48,876 "," 49,621 "," 50,709 "
2012,"5,491"," 45,277 "," 45,770 "," 47,641 "," 48,876 "," 49,621 "," 50,709 "
2017,"68,579"," 49,309 "," 48,573 "," 50,318 "," 52,238 "," 53,268 "," 54,976 "
2016,"66,473"," 49,309 "," 48,573 "," 50,318 "," 52,238 "," 53,268 "," 54,976 "
2015,"65,577"," 49,309 "," 48,573 "," 50,318 "," 52,238 "," 53,268 "," 54,976 "
2014,"63,598"," 49,309 "," 48,573 "," 50,318 "," 52,238 "," 53,268 "," 54,976 "
2013,"62,716"," 49,309 "," 48,573 "," 50,318 "," 52,238 "," 53,268 "," 54,976 "
2012,"61,564"," 49,309 "," 48,573 "," 50,318 "," 52,238 "," 53,268 "," 54,976 "
2017,"56,995"," 47,320 "," 47,857 "," 50,890 "," 53,083 "," 54,918 "," 57,244 "
2016,"54,769"," 47,320 "," 47,857 "," 50,890 "," 53,083 "," 54,918 "," 57,244 "
2015,"54,595"," 47,320 "," 47,857 "," 50,890 "," 53,083 "," 54,918 "," 57,244 "
2014,"52,099"," 47,320 "," 47,857 "," 50,890 "," 53,083 "," 54,918 "," 57,244 "
2013,"51,264"," 47,320 "," 47,857 "," 50,890 "," 53,083 "," 54,918 "," 57,244 "
2012,"50,105"," 47,320 "," 47,857 "," 50,890 "," 53,083 "," 54,918 "," 57,244 "
2017,"23,276"," 35,453 "," 35,318 "," 36,570 "," 37,468 "," 37,380 "," 39,169 "
2016,"22,732"," 35,453 "," 35,318 "," 36,570 "," 37,468 "," 37,380 "," 39,169 "
2015,"22,752"," 35,453 "," 35,318 "," 36,570 "," 37,468 "," 37,380 "," 39,169 "
2014,"22,186"," 35,453 "," 35,318 "," 36,570 "," 37,468 "," 37,380 "," 39,169 "
2013,"21,843"," 35,453 "," 35,318 "," 36,570 "," 37,468 "," 37,380 "," 39,169 "
2012,"21,915"," 35,453 "," 35,318 "," 36,570 "," 37,468 "," 37,380 "," 39,169 "
2017,"52,681"," 42,944 "," 43,050 "," 44,709 "," 46,548 "," 47,205 "," 48,741 "
2016,"51,815"," 42,944 "," 43,050 "," 44,709 "," 46,548 "," 47,205 "," 48,741 "
2015,"51,264"," 42,944 "," 43,050 "," 44,709 "," 46,548 "," 47,205 "," 48,741 "
2014,"50,291"," 42,944 "," 43,050 "," 44,709 "," 46,548 "," 47,205 "," 48,741 "
2013,"50,026"," 42,944 "," 43,050 "," 44,709 "," 46,548 "," 47,205 "," 48,741 "
2012,"48,384"," 42,944 "," 43,050 "," 44,709 "," 46,548 "," 47,205 "," 48,741 "
2017,"4,768"," 54,213 "," 53,776 "," 57,749 "," 57,846 "," 54,827 "," 57,126 "
2016,"4,722"," 54,213 "," 53,776 "," 57,749 "," 57,846 "," 54,827 "," 57,126 "
2015,"4,778"," 54,213 "," 53,776 "," 57,749 "," 57,846 "," 54,827 "," 57,126 "
2014,"4,666"," 54,213 "," 53,776 "," 57,749 "," 57,846 "," 54,827 "," 57,126 "
2013,"4,516"," 54,213 "," 53,776 "," 57,749 "," 57,846 "," 54,827 "," 57,126 "
2012,"4,481"," 54,213 "," 53,776 "," 57,749 "," 57,846 "," 54,827 "," 57,126 "
