Table S-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Postsecondary Degree Holders among Individuals 25–44 Years Old, by state: 2005–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postsecondary degree holders 25–44 years old,,,,,,,,,,,,,,,,Individuals 25–44 years old,,,,,,,,,,,,,,,,Postsecondary degree holders/individuals 25–44 years old (Percent),,,,,,,,,,,,,,
State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Idaho,"121,720","133,520","142,790","139,110","135,620","138,980","145,300","148,840","151,830","150,120","156,325","172,205","168,540","179,620","189,380",,"374,779","383,267","391,280","396,766","399,670","400,960","403,286","405,008","408,695","413,775","419,128","428,353","440,068","451,751","463,662",,32.5,34.8,36.5,35.1,33.9,34.7,36.0,36.7,37.1,36.3,37.3,40.2,38.3,39.8,40.8
Illinois,"1,530,725","1,515,470","1,522,300","1,545,385","1,553,735","1,534,125","1,567,170","1,587,155","1,599,280","1,632,740","1,630,605","1,664,040","1,657,695","1,702,920","1,727,150",,"3,595,524","3,572,420","3,552,188","3,537,433","3,517,245","3,500,021","3,491,412","3,480,981","3,477,581","3,463,903","3,443,469","3,423,212","3,411,501","3,401,999","3,395,231",,42.6,42.4,42.9,43.7,44.2,43.8,44.9,45.6,46.0,47.1,47.4,48.6,48.6,50.1,50.9
Indiana,"562,485","582,550","590,085","610,565","603,095","592,540","614,145","625,770","619,760","654,955","649,610","672,670","703,285","704,535","702,430",,"1,711,914","1,705,535","1,699,363","1,690,585","1,676,552","1,667,735","1,664,408","1,660,195","1,664,672","1,667,288","1,666,747","1,670,593","1,683,439","1,700,768","1,719,646",,32.9,34.2,34.7,36.1,36.0,35.5,36.9,37.7,37.2,39.3,39.0,40.3,41.8,41.4,40.8
Iowa,"317,770","314,360","324,135","326,265","331,840","332,185","342,655","356,540","350,930","365,865","363,495","370,470","379,680","382,470","389,975",,"753,008","747,836","747,886","746,335","745,305","747,794","749,668","748,778","751,404","754,619","757,384","761,295","768,987","776,477","783,365",,42.2,42.0,43.3,43.7,44.5,44.4,45.7,47.6,46.7,48.5,48.0,48.7,49.4,49.3,49.8
Kansas,"289,850","288,710","294,750","303,960","297,295","310,565","308,235","317,200","323,335","329,295","334,180","332,150","353,690","355,665","358,320",,"715,568","713,707","714,627","717,210","720,316","725,604","726,063","728,876","729,930","730,792","732,725","733,673","735,666","740,446","743,951",,40.5,40.5,41.2,42.4,41.3,42.8,42.5,43.5,44.3,45.1,45.6,45.3,48.1,48.0,48.2
Kentucky,"353,170","367,005","359,920","370,170","385,495","372,625","377,645","389,375","412,725","405,280","413,045","427,705","427,625","445,875","446,225",,"1,163,875","1,162,541","1,160,702","1,152,941","1,147,693","1,142,930","1,138,563","1,133,761","1,131,235","1,127,893","1,127,614","1,128,689","1,132,183","1,135,035","1,138,333",,30.3,31.6,31.0,32.1,33.6,32.6,33.2,34.3,36.5,35.9,36.6,37.9,37.8,39.3,39.2
Louisiana,"340,335","316,725","312,255","325,800","358,275","362,815","365,790","386,345","390,470","411,515","418,590","417,100","423,900","432,135","446,690",,"1,237,958","1,152,042","1,162,238","1,169,750","1,181,653","1,197,065","1,206,298","1,214,328","1,223,468","1,233,169","1,243,467","1,252,176","1,251,248","1,250,023","1,248,081",,27.5,27.5,26.9,27.9,30.3,30.3,30.3,31.8,31.9,33.4,33.7,33.3,33.9,34.6,35.8
Maine,"123,130","127,000","131,940","119,635","122,980","123,045","127,825","119,810","128,175","133,425","136,695","137,245","143,405","144,170","152,345",,"343,558","337,692","332,401","326,952","320,549","314,778","311,968","309,088","307,858","307,991","306,585","307,120","309,464","312,746","316,883",,35.8,37.6,39.7,36.6,38.4,39.1,41.0,38.8,41.6,43.3,44.6,44.7,46.3,46.1,48.1
Maryland,"693,315","727,195","701,070","700,895","713,320","708,995","732,630","751,110","749,030","783,855","786,590","794,285","810,585","827,910","831,515",,"1,610,134","1,598,650","1,580,856","1,569,212","1,558,062","1,559,947","1,565,350","1,575,769","1,582,333","1,586,093","1,590,296","1,589,949","1,595,982","1,604,205","1,611,462",,43.1,45.5,44.3,44.7,45.8,45.4,46.8,47.7,47.3,49.4,49.5,50.0,50.8,51.6,51.6
Massachusetts,"932,195","925,920","929,040","918,140","939,445","928,540","929,155","941,345","967,135","986,130","991,840","1,018,360","1,032,315","1,078,895","1,092,825",,"1,828,665","1,795,786","1,769,742","1,754,618","1,741,440","1,733,812","1,739,254","1,750,436","1,763,085","1,775,117","1,781,106","1,788,412","1,807,335","1,826,349","1,842,827",,51.0,51.6,52.5,52.3,53.9,53.6,53.4,53.8,54.9,55.6,55.7,56.9,57.1,59.1,59.3
