Table S-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Postsecondary Degree Holders among Individuals 25–44 Years Old, by state: 2005–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postsecondary degree holders 25–44 years old,,,,,,,,,,,,,,,,Individuals 25–44 years old,,,,,,,,,,,,,,,,Postsecondary degree holders/individuals 25–44 years old (Percent),,,,,,,,,,,,,,
State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Washington,"739,975","771,750","772,895","758,280","782,875","787,905","813,490","814,745","844,950","886,830","917,070","966,165","1,015,310","1,091,945","1,095,405",,"1,774,193","1,791,998","1,803,331","1,819,408","1,835,742","1,846,434","1,868,822","1,888,261","1,907,793","1,939,655","1,981,767","2,037,702","2,099,899","2,153,138","2,200,216",,41.7,43.1,42.9,41.7,42.6,42.7,43.5,43.1,44.3,45.7,46.3,47.4,48.4,50.7,49.8
West Virginia,"125,230","130,215","130,375","129,865","130,225","132,410","143,430","137,835","144,415","142,010","146,965","151,175","140,945","145,225","151,895",,"469,859","468,119","465,516","463,268","460,260","457,929","455,784","453,037","449,970","447,332","444,712","440,808","435,799","431,393","427,806",,26.7,27.8,28.0,28.0,28.3,28.9,31.5,30.4,32.1,31.7,33.0,34.3,32.3,33.7,35.5
Wisconsin,"596,925","599,290","596,700","601,715","595,645","604,645","610,185","630,690","639,250","649,080","651,995","674,670","693,720","694,080","718,825",,"1,495,134","1,479,447","1,471,698","1,462,682","1,452,804","1,445,127","1,436,604","1,428,023","1,423,474","1,419,403","1,414,596","1,414,290","1,425,720","1,440,982","1,454,297",,39.9,40.5,40.5,41.1,41.0,41.8,42.5,44.2,44.9,45.7,46.1,47.7,48.7,48.2,49.4
Wyoming,"42,115","45,235","48,790","49,475","49,575","53,925","55,280","54,455","62,665","59,390","62,180","64,975","61,305","62,615","62,210",,"129,772","131,399","135,001","138,230","143,309","144,960","145,993","149,161","150,776","151,600","152,933","152,602","150,863","150,456","150,718",,32.5,34.4,36.1,35.8,34.6,37.2,37.9,36.5,41.6,39.2,40.7,42.6,40.6,41.6,41.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,"424,720","411,190","417,210","405,070","412,250","382,035","390,540","397,470","392,875","379,385","377,945","376,685","370,100","370,210","373,960",,"1,027,725","1,019,384","1,010,002","998,917","986,055","972,221","949,922","930,003","913,334","892,653","873,430","851,966","827,176","787,277","793,549",,41.3,40.3,41.3,40.6,41.8,39.3,41.1,42.7,43.0,42.5,43.3,44.2,44.7,47.0,47.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES: The national total for degree holders for the United States includes Puerto Rico. The national population total for the United States includes Puerto Rico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Census Bureau, special tabulations of the American Community Survey (various years), data available as of January 2021; U.S. Census Bureau, 2000 and 2010 Decennial Censuses and Population Estimates Program (various years), data available as of June 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Recommended Citation: National Science Board. “Postsecondary Degree Holders among Individuals 25–44 Years Old.” Science and Engineering Indicators: State Indicators. Alexandria, VA: National Science Foundation. https://ncses.nsf.gov/indicators/states/indicator/postsecondary-degree-holders-per-25-44-year-olds. Accessed on [date of user access].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last updated: March 24, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science and Engineering Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
